r1
10
10
20
40
10
10
25
25
33
20
10
25
25
25
25
25
10
30
10
33,33
69
10
10
4
25
25
30
25
33
40
30
25
3
25
33,33
25
10
16,66
10
4
20
25
27
25
40
20
25
40
25
5
10
10
25
50
40
25
25
30
25
40
20
20
25
25
30,3
20
25
10
25
25
25
33,33
12
10
10
40
